UniProtID,Unnamed: 0,proteinNames,txt_subunit,geneNames,subunitnumber
E2PVC9,58,"['Acetylglutamate kinase', 'N-acetyl-L-glutamate 5-phosphotransferase', 'NAG kinase', 'NAGK']",Homodimer.,"['argB', 'argB2', 'SCLAV_0799']",2
E2Q5Q4,59,['Arginine biosynthesis bifunctional protein ArgJ'],Heterotetramer of two alpha and two beta chains.,"['oat2', 'argJ', 'SCLAV_4193']",2
B5H3I5,60,['N-acetylglutamate synthase'],Heterotetramer of two alpha and two beta chains.,[],2
B5H252,61,['Arginine biosynthesis bifunctional protein ArgJ'],Heterotetramer of two alpha and two beta chains.,"['argJ', 'SCLAV_0800']",2
E2Q5Q8,62,['Carboxyethylarginine synthase'],Heterotetramer of two alpha and two beta chains.,"['ceaS2', 'SCLAV_4197']",2
E2Q4G9,63,['Putative acetolactate synthase'],Heterotetramer of two alpha and two beta chains.,"['ilvB2', 'SCLAV_1934']",2
D5SKW7,64,['Carboxyethyl arginine synthase isoenzyme 1'],Heterotetramer of two alpha and two beta chains.,"['ceaS1', 'SCLAV_p1074']",2
B5GKZ7,65,['Acetate kinase'],Homodimer.,"['ackA', 'SCLAV_4330']",2
B5H0Q1,66,['Acetolactate synthase small subunit'],Dimer of large and small chains.,"['ilvH', 'SCLAV_4439']",1
E2Q7X7,67,['Acetolactate synthase'],Dimer of large and small chains.,"['ilvB1', 'SCLAV_4438']",1
E2Q3G0,68,['Putative permease of the major facilitator superfamily'],Dimer of large and small chains.,[],1
E2Q3E6,69,['N-acetylneuraminic acid synthase'],Dimer of large and small chains.,[],1
B5GRU1,70,['Acyl-CoA dehydrogenase'],Dimer of large and small chains.,[],1
B5GUT7,71,['Putative acyl-CoA dehydrogenase'],Dimer of large and small chains.,[],1
B5GNS4,72,['Putative acyl-CoA dehydrogenase'],Dimer of large and small chains.,[],1
B5GU77,73,"['Broad-specificity linear acyl-CoA dehydrogenase FadE5', 'Long-chain-acyl-CoA dehydrogenase', 'Medium-chain-acyl-CoA dehydrogenase', 'Short-chain-acyl-CoA dehydrogenase']",Homodimer.,[],2
E2Q6A4,74,['Probable acyl-CoA dehydrogenase fadE25'],Homodimer.,[],2
E2Q718,75,['Acyl-CoA dehydrogenase'],Homodimer.,[],2
B5GMB5,76,['Acyl-CoA dehydrogenase domain-containing protein'],Homodimer.,[],2
E2Q4I1,77,['Acyl-CoA dehydrogenase'],Homodimer.,[],2
E2PVZ9,78,['Chain length factor'],Homodimer.,"['sppB', 'SCLAV_4916']",2
B5GX71,79,['Acyl dehydratase'],Homodimer.,[],2
E2PWE6,80,['Putative M20/M25/M40-family peptidase'],Homodimer.,[],2
E2PV06,81,"['Aconitate hydratase', 'Aconitase']",Homodimer.,"['acnA', 'SCLAV_4830']",2
B5H254,82,"['Acetylornithine aminotransferase', 'ACOAT']",Homodimer.,"['argD', 'SCLAV_0798']",2
B5GY02,83,['NUDIX hydrolase'],Homodimer.,[],2
E2Q9Q1,84,"['Acetyl-coenzyme A synthetase', 'Acetate--CoA ligase', 'Acyl-activating enzyme']",Homodimer.,"['acsA', 'acsA2', 'SCLAV_2556']",2
B5GRM3,85,['Acetyl-CoA synthetase'],Homodimer.,[],2
Q8KRB6,86,[],Homodimer.,[],2
B5GMR3,87,['Dehydrogenase'],Homodimer.,[],2
E2PUV6,88,['Putative ABC transporter ATP-binding protein'],Homodimer.,[],2
B5GY74,89,['ABC transporter integral membrane protein'],Homodimer.,[],2
D5SKA2,90,['Putative ABC transporter ATP-binding protein'],Homodimer.,[],2
B5GZ45,91,['Adenosine deaminase'],Homodimer.,"['add3', 'SCLAV_4573']",2
B5GSZ3,92,['Adenosine deaminase'],Homodimer.,"['add', 'SCLAV_3807']",2
B5GX69,93,['Adenosine deaminase'],Homodimer.,"['add2', 'SCLAV_3621']",2
E2Q343,94,"['Adenine deaminase', 'ADE']",Homodimer.,"['add1', 'SCLAV_1721']",2
E2PV58,95,"['Endolytic murein transglycosylase', 'Peptidoglycan lytic transglycosylase', 'Peptidoglycan polymerization terminase']",Homodimer.,"['mltG', 'SCLAV_0729']",2
E2PVA4,96,['Putative anthranilate synthase'],Homodimer.,"['pabB', 'SCLAV_0775']",2
B5H0M1,97,['Putative permease'],Homodimer.,[],2
B5GX28,98,"['Adenylate kinase', 'AK', 'ATP-AMP transphosphorylase', 'ATP:AMP phosphotransferase', 'Adenylate monophosphate kinase']",Monomer.,"['adk', 'SCLAV_3658']",1
E2Q3X1,99,['Adenylate cyclase'],Monomer.,"['cyaA', 'SCLAV_3837']",1
E2Q3W6,100,"['Adenine phosphoribosyltransferase', 'APRT']",Homodimer.,"['apt', 'SCLAV_1863']",2
B5GWX7,101,"['Adenine phosphoribosyltransferase', 'APRT']",Homodimer.,"['apt', 'SCLAV_0745']",2
E2PVX9,102,"['Adenylyl-sulfate kinase', 'APS kinase', ""ATP adenosine-5'-phosphosulfate 3'-phosphotransferase"", ""Adenosine-5'-phosphosulfate kinase""]",Homodimer.,"['cysC', 'SCLAV_4896']",2
B5H1K8,103,['sulfate adenylyltransferase'],Homodimer.,[],2
E2PVX8,104,"['Sulfate adenylyltransferase subunit 2', 'ATP-sulfurylase small subunit', 'Sulfate adenylate transferase', 'SAT']","Heterodimer composed of CysD, the smaller subunit, and CysN.","['cysD', 'SCLAV_4895']",1
E2Q9J6,105,"['Adenylosuccinate lyase', 'ASL']","Heterodimer composed of CysD, the smaller subunit, and CysN.",[],1
E2Q9W5,106,['Adenylosuccinate synthetase'],Homodimer.,"['purA', 'SCLAV_2620']",2
B5GNY3,107,['N-acetylglucosamine-6-phosphate deacetylase'],Homodimer.,[],2
E2Q2N8,108,['N-acetylmuramoyl-L-alanine amidase'],Homodimer.,[],2
B5GVH1,109,['N-acetylmuramoyl-L-alanine amidase'],Homodimer.,"['amiA', 'SCLAV_4415']",2
E2Q0E4,110,['Putative peptidyl-arginine deiminase family protein'],Homodimer.,[],2
E2Q4H0,111,['Agmatinase'],Homodimer.,"['speB', 'SCLAV_1935']",2
E2Q712,112,['Arginase/agmatinase/formiminoglutamase'],Homodimer.,[],2
D5SK66,113,['Putative acyltransferase'],Homodimer.,[],2
E2Q7L8,114,['Acyltransferase'],Homodimer.,[],2
E2Q9H3,115,['Acyltransferase'],Homodimer.,[],2
E2PVD1,116,"['N-acetyl-gamma-glutamyl-phosphate reductase', 'AGPR']",Homodimer.,"['argC', 'argC2', 'SCLAV_0801']",2
E2Q5D9,117,['Adenosylhomocysteinase'],Homodimer.,"['sahH', 'ahcY', 'SCLAV_2107']",2
B5GXD1,118,"['Phosphomethylpyrimidine synthase', 'Hydroxymethylpyrimidine phosphate synthase']",Homodimer.,"['thiA', 'thiC', 'SCLAV_2863']",2
B5GXC4,119,['Cystathionine gamma-lyase'],Homodimer.,"['cysA', 'SCLAV_2869']",2
E2Q393,120,['Bifunctional purine biosynthesis protein PurH'],Homodimer.,"['purH', 'SCLAV_3736']",2
B5GXT9,121,"['N5-carboxyaminoimidazole ribonucleotide synthase', 'N5-CAIR synthase']",Homodimer.,"['purK', 'SCLAV_2161']",2
B5GXU0,122,"['N5-carboxyaminoimidazole ribonucleotide mutase', 'N5-CAIR mutase']",Homodimer.,"['purE', 'SCLAV_2160']",2
E2Q5E4,123,['Phosphomannomutase/phosphoglucomutase'],Homodimer.,[],2
E2Q0T5,124,['Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex'],Homodimer.,[],2
B5H3M7,125,['Putative proline/betaine transporter'],Homodimer.,[],2
B5GXJ3,126,['Branched-chain amino acid transport ATP-binding protein'],Homodimer.,[],2
E2PYQ6,127,['Putative branched-chain amino acid ABC transporter ATP-binding protein'],Homodimer.,[],2
E2PYQ4,128,['Branched-chain amino acid ABC transporter permease'],Homodimer.,[],2
E2PYL5,129,"['UvrABC system protein A', 'UvrA protein']",Forms a heterotetramer with UvrB during the search for lesions.,"['uvrA', 'SCLAV_1159']",2
E2PVF9,130,['ABC-type xenobiotic transporter'],Forms a heterotetramer with UvrB during the search for lesions.,[],2
B5GXJ7,131,['Branched chain amino acid binding protein'],Forms a heterotetramer with UvrB during the search for lesions.,[],2
E2Q967,132,['Peptide transport permease'],Forms a heterotetramer with UvrB during the search for lesions.,[],2
E2Q965,133,['Putative oligopeptide ABC transporter ATP-binding protein'],Forms a heterotetramer with UvrB during the search for lesions.,[],2
E2Q4P9,134,['Peptide ABC transporter ATP-binding protein'],Forms a heterotetramer with UvrB during the search for lesions.,[],2
B5GTY1,135,['Oligopeptide ABC transporter substrate-binding protein'],Forms a heterotetramer with UvrB during the search for lesions.,"['oppB', 'SCLAV_3982']",2
B5GVG5,136,['Putative peptide ABC transporter ATP-binding protein'],Forms a heterotetramer with UvrB during the search for lesions.,"['appF', 'SCLAV_4409']",2
E2Q3C2,137,['D-alanyl-D-alanine carboxypeptidase'],Forms a heterotetramer with UvrB during the search for lesions.,[],2
B5H056,138,"['D-alanine--D-alanine ligase', 'D-Ala-D-Ala ligase', 'D-alanylalanine synthetase']",Forms a heterotetramer with UvrB during the search for lesions.,"['ddl', 'SCLAV_4509']",2
E2Q112,139,"['D-alanine--D-alanine ligase', 'D-Ala-D-Ala ligase', 'D-alanylalanine synthetase']",Forms a heterotetramer with UvrB during the search for lesions.,"['ddl', 'SCLAV_3446']",2
E2PXE0,140,['Alanine dehydrogenase'],Homohexamer. Trimer of dimers.,[],6
E2Q2G2,141,['Alanine racemase'],Homohexamer. Trimer of dimers.,"['alr2', 'alr3', 'SCLAV_3678']",6
E2Q111,142,['Alanine racemase'],Homohexamer. Trimer of dimers.,"['alr1', 'alr2', 'SCLAV_3445']",6
E2Q409,143,['alanine transaminase'],Homohexamer. Trimer of dimers.,"['alaT', 'SCLAV_3875']",6
B5GNU6,144,['Putative alcohol dehydrogenase'],Homohexamer. Trimer of dimers.,"['adhA', 'SCLAV_3440']",6
E2Q1Y8,145,['Putative zinc-binding dehydrogenase'],Homohexamer. Trimer of dimers.,[],6
B5GV59,146,['alcohol dehydrogenase'],Homohexamer. Trimer of dimers.,[],6
B5GNA3,147,['Alcohol dehydrogenase'],Homohexamer. Trimer of dimers.,"['adhA', 'SCLAV_p0727']",6
E2Q3X7,148,['alcohol dehydrogenase (NADP(+))'],Homohexamer. Trimer of dimers.,[],6
B5H000,149,['Putative zinc-containing dehydrogenase'],Homohexamer. Trimer of dimers.,[],6
E2PYD9,150,"['2,5-dioxovalerate dehydrogenase']",Homohexamer. Trimer of dimers.,[],6
E2PW77,151,['Phenylacetaldehyde dehydrogenase'],Homohexamer. Trimer of dimers.,"['feaB', 'SCLAV_0833']",6
B5GLA9,152,['aldehyde dehydrogenase (NAD(+))'],Homotetramer.,"['pcd', 'SCLAV_4212']",4
E2Q150,153,['Aldehyde dehydrogenase'],Homotetramer.,[],4
E2PZ14,154,['Aldehyde dehydrogenase'],Homotetramer.,[],4
E2Q204,155,['Aldehyde dehydrogenase'],Homotetramer.,[],4
B5GZR9,156,['Allantoate amidohydrolase'],Homotetramer.,[],4
E2PX05,157,['allantoinase'],Homotetramer.,[],4
E2PY00,158,['Oxidoreductase'],Homotetramer.,[],4
E2Q465,159,['Oxidoreductase'],Homotetramer.,[],4
E2PWE0,160,['Putative oxidoreductase'],Homotetramer.,[],4
E2Q3S5,161,"['4-alpha-glucanotransferase', 'Amylomaltase', 'Disproportionating enzyme']",Homotetramer.,[],4
E2PZD5,162,['Putative methyltransferase'],Homotetramer.,[],4
E2Q750,163,['Putative methyl transferase'],Homotetramer.,[],4
B5GXK7,164,['Putative methyltransferase'],Homotetramer.,[],4
E2Q1C6,165,['Demethylmenaquinone methyltransferase'],Homotetramer.,"['menG', 'ubiE2', 'SCLAV_3559']",4
E2Q9L5,166,['cysteine desulfurase'],Homotetramer.,[],4
E2Q3R8,167,['Aminopeptidase N'],Homotetramer.,[],4
E2Q0T3,168,"['Probable cytosol aminopeptidase', 'Leucine aminopeptidase', 'LAP', 'Leucyl aminopeptidase']",Homotetramer.,"['ampA', 'pepA', 'SCLAV_1397']",4
B5GUX0,169,['Anthranilate phosphoribosyltransferase'],Homodimer.,"['trpD', 'SCLAV_1363']",2
E2PZV2,170,['anthranilate synthase'],Homodimer.,[],2
E2PZM0,171,['Anthranilate synthase component 1'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,"['trpE', 'SCLAV_1250']",2
B5H1C8,172,['Putative hydrolase'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,[],2
E2Q8Y2,173,['acylphosphatase'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,[],2
E2PUD8,174,['Riboflavin biosynthesis protein RibD'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,[],2
E2PY17,175,['ABC transporter ATP-binding protein'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,[],2
B5H2G5,176,['L-arabinose transport system permease protein araH'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,[],2
E2Q2Q1,177,['Putative permease of the major facilitator superfamily'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,[],2
B5H0K9,178,"['Putative ABC transporter, ATP-binding protein']",Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,[],2
B5H376,179,['Putative polar amino acid ABC transporter substrate-binding protein'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,[],2
E2QA36,180,['ABC-type polar-amino-acid transporter'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,[],2
E2QA33,181,['Glutamate transporter permease'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,"['gluD1', 'SCLAV_4660']",2
E2Q5I1,182,['Histidine/lysine/arginine/ornithine transport system permease protein HisM'],"The HisPMQJ complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (HisJ). The HisPMQ-ArgT complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (ArgT).",[],1
B5H375,183,['Putative polar amino acid ABC transporter permease protein'],"The HisPMQJ complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (HisJ). The HisPMQ-ArgT complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (ArgT).",[],1
E2PUZ0,184,"['Arginine deiminase', 'ADI']","The HisPMQJ complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (HisJ). The HisPMQ-ArgT complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (ArgT).","['arcA', 'SCLAV_4814']",1
B5H257,185,"['Argininosuccinate lyase', 'ASAL']","The HisPMQJ complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (HisJ). The HisPMQ-ArgT complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (ArgT).","['arlY', 'argH', 'SCLAV_0795']",1
E2PVC6,186,['Argininosuccinate synthase'],Homotetramer.,"['assY', 'argG', 'argG2', 'SCLAV_0796']",4
B5H3B3,187,['Aspartate-semialdehyde dehydrogenase'],Homotetramer.,"['asd2', 'SCLAV_2613']",4
E2Q3R6,188,['Aspartate-semialdehyde dehydrogenase'],Homodimer.,"['asd1', 'asd', 'asd2', 'SCLAV_1812']",2
A0PCJ8,189,[],Homodimer.,"['cvm13', 'SCLAV_2932']",2
B5GZE4,190,['asparagine synthase (glutamine-hydrolyzing)'],Homodimer.,[],2
B5GLC7,191,['Carboxyethyl-arginine beta-lactam-synthase'],Homodimer.,"['bls2', 'SCLAV_4196']",2
B5GZZ7,192,['L-asparagine permease'],Homodimer.,"['ansP', 'SCLAV_0907']",2
D5SK19,193,['Putative membrane efflux protein'],Homodimer.,"['arsB', 'SCLAV_p0775']",2
B5GUQ9,194,"['PLP-dependent enzyme, glutamate decarboxylase']",Homodimer.,[],2
B5H1N9,195,['Pyridoxal-dependent decarboxylase'],Homodimer.,"['sidD', 'SCLAV_1948']",2
B5GRR5,196,['Putative glutamate ABC transporter permease'],Homodimer.,"['gluD2', 'SCLAV_5031']",2
E2Q660,197,['ABC-type polar-amino-acid transporter'],Homodimer.,[],2
B5GX00,198,['Aspartate carbamoyltransferase'],"Heterododecamer (2C3:3R2) of six catalytic PyrB chains organized as two trimers (C3), and six regulatory PyrI chains organized as three dimers (R2).","['pyrB', 'SCLAV_0716']",12
B5H3B4,199,['Aspartokinase'],"Heterododecamer (2C3:3R2) of six catalytic PyrB chains organized as two trimers (C3), and six regulatory PyrI chains organized as three dimers (R2).",[],12
E2Q8H9,200,['L-aspartate oxidase'],"Heterododecamer (2C3:3R2) of six catalytic PyrB chains organized as two trimers (C3), and six regulatory PyrI chains organized as three dimers (R2).","['nadB', 'SCLAV_2394']",12
E2Q1C0,201,['Proton transport protein'],"Heterododecamer (2C3:3R2) of six catalytic PyrB chains organized as two trimers (C3), and six regulatory PyrI chains organized as three dimers (R2).",[],12
E2Q4R0,202,['N-succinyldiaminopimelate aminotransferase'],"Heterododecamer (2C3:3R2) of six catalytic PyrB chains organized as two trimers (C3), and six regulatory PyrI chains organized as three dimers (R2).",[],12
B5H3S7,203,['Putative aspartate aminotransferase'],"Heterododecamer (2C3:3R2) of six catalytic PyrB chains organized as two trimers (C3), and six regulatory PyrI chains organized as three dimers (R2).",[],12
B5H0A4,204,['Aminotransferase'],"Heterododecamer (2C3:3R2) of six catalytic PyrB chains organized as two trimers (C3), and six regulatory PyrI chains organized as three dimers (R2).",[],12
E2Q2A6,205,['Aminotransferase'],"Heterododecamer (2C3:3R2) of six catalytic PyrB chains organized as two trimers (C3), and six regulatory PyrI chains organized as three dimers (R2).",[],12
B6ICY4,206,['Aminotransferase'],"Heterododecamer (2C3:3R2) of six catalytic PyrB chains organized as two trimers (C3), and six regulatory PyrI chains organized as three dimers (R2).","['orfC', 'SCLAV_p1070']",12
E2Q0W4,207,['Putative arsenate reductase'],"Heterododecamer (2C3:3R2) of six catalytic PyrB chains organized as two trimers (C3), and six regulatory PyrI chains organized as three dimers (R2).",[],12
E2Q199,208,['Dehydrogenase'],"Heterododecamer (2C3:3R2) of six catalytic PyrB chains organized as two trimers (C3), and six regulatory PyrI chains organized as three dimers (R2).",[],12
B5H1B4,209,['ATP phosphoribosyltransferase'],"Heterododecamer (2C3:3R2) of six catalytic PyrB chains organized as two trimers (C3), and six regulatory PyrI chains organized as three dimers (R2).","['hisG', 'SCLAV_0675']",12
E2Q6P7,210,"['ATP synthase epsilon chain', 'ATP synthase F1 sector epsilon subunit', 'F-ATPase epsilon subunit']","F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.","['atpC', 'SCLAV_4272']",1
B5GUT6,211,['CoA ligase'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.",[],1
E2PVX5,212,['Putative ABC transporter ATP-binding protein'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.",[],1
E2Q2N6,213,['Putative glycine betaine aldehyde dehydrogenase'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.",[],1
E2Q3H4,214,['Aldehyde dehydrogenase'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.",[],1
E2Q7I5,215,['Molybdopterin molybdenumtransferase'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.","['moaA2', 'SCLAV_2318']",1
E2PZ68,216,['Putative ABC transporter permease protein'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.",[],1
E2PZ70,217,['ABC transporter ATP-binding protein'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.",[],1
B5H1K5,218,['ABC transporter permease protein'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.",[],1
E2Q155,219,"['ABC-type antimicrobial peptide transport system, ATPase component']","F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.",[],1
E2Q3U7,220,['Putative ring-hydroxylating dioxygenase'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.",[],1
E2PZI9,221,['Enoyl-ACP reductase II'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.","['fabK', 'SCLAV_1220']",1
E2PXK3,222,['Oxidoreductase'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.",[],1
E2PXM1,223,"['Cob I yrinic acid a,c-diamide adenosyltransferase']","F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.","['cobO', 'SCLAV_1065']",1
B5GRS3,224,['Hydrolase'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.",[],1
B5GX02,225,['Carbamoyl phosphate synthase small chain'],"Composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate. Tetramer of heterodimers (alpha,beta)4.","['carA', 'SCLAV_0713']",1
B5GX03,226,['Carbamoyl phosphate synthase large chain'],"Composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate. Tetramer of heterodimers (alpha,beta)4.","['carB', 'SCLAV_0712']",1
B5H3J5,227,['Putative cation efflux protein'],"Composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate. Tetramer of heterodimers (alpha,beta)4.",[],1
